
        ==========     _____ _    _ ____  _____  ______          _____  
        =====         / ____| |  | |  _ \|  __ \|  ____|   /\   |  __ \ 
          =====      | (___ | |  | | |_) | |__) | |__     /  \  | |  | |
            ====      \___ \| |  | |  _ <|  _  /|  __|   / /\ \ | |  | |
              ====    ____) | |__| | |_) | | \ \| |____ / ____ \| |__| |
        ==========   |_____/ \____/|____/|_|  \_\______/_/    \_\_____/
       Rsubread 2.2.6

//================================= setting ==================================\\
||                                                                            ||
|| Function      : Read alignment (RNA-Seq)                                   ||
|| Input file 1  : 1_MEFs_1_S1_L001_R1_001.fastq.gz                           ||
|| Input file 2  : 1_MEFs_1_S1_L001_R2_001.fastq.gz                           ||
|| Output file   : 1_MEFs_1_S1_L001_R1_001.bam (BAM), Sorted                  ||
|| Index name    : mm10                                                       ||
||                                                                            ||
||                    ------------------------------------                    ||
||                                                                            ||
||                               Threads : 16                                 ||
||                          Phred offset : 33                                 ||
||               # of extracted subreads : 10                                 ||
||                        Min read1 vote : 3                                  ||
||                        Min read2 vote : 1                                  ||
||                     Max fragment size : 600                                ||
||                     Min fragment size : 50                                 ||
||                        Max mismatches : 3                                  ||
||                      Max indel length : 5                                  ||
||            Report multi-mapping reads : yes                                ||
|| Max alignments per multi-mapping read : 1                                  ||
||                           Annotations : inbuilt (mm10)                     ||
||                                                                            ||
\\============================================================================//

//================= Running (06-Apr-2022 05:24:05, pid=7173) =================\\
||                                                                            ||
|| Check the input reads.                                                     ||
|| The input file contains base space reads.                                  ||
|| Initialise the memory objects.                                             ||
|| Estimate the mean read length.                                             ||
|| The range of Phred scores observed in the data is [0,34]                   ||
|| Create the output BAM file.                                                ||
|| Check the index.                                                           ||
|| Init the voting space.                                                     ||
|| Load the annotation file.                                                  ||
|| 222996 annotation records were loaded.                                     ||
||                                                                            ||
|| Chromosomes/contigs in annotation but not in index :                       ||
||    NT_166281.1                                                             ||
||    NT_187056.1                                                             ||
||    NT_187054.1                                                             ||
||    NT_187060.1                                                             ||
||    NT_187057.1                                                             ||
||    NT_166282.1                                                             ||
||    NT_166307.1                                                             ||
||    NT_187059.1                                                             ||
||    NT_187062.1                                                             ||
||    NT_187052.1                                                             ||
||    NT_166438.1                                                             ||
||    NT_166466.1                                                             ||
||    NT_187058.1                                                             ||
||    NT_187053.1                                                             ||
||    NT_166291.1                                                             ||
||    NT_162750.1                                                             ||
||    NT_165789.2                                                             ||
||    NT_166463.1                                                             ||
||    NT_166434.1                                                             ||
||    NT_166280.1                                                             ||
||    NT_187064.1                                                             ||
||                                                                            ||
||                                                                            ||
|| Chromosomes/contigs in index but not in annotation :                       ||
||    chr4_JH584292_random                                                    ||
||    chr5_JH584297_random                                                    ||
||    chr4_GL456350_random                                                    ||
||    chrUn_GL456239                                                          ||
||    chr1_GL456212_random                                                    ||
||    chrY_JH584303_random                                                    ||
||    chr4_JH584295_random                                                    ||
||    chr1_GL456210_random                                                    ||
||    chrY_JH584301_random                                                    ||
||    chrUn_GL456359                                                          ||
||    chr4_JH584293_random                                                    ||
||    chrUn_GL456360                                                          ||
||    chr5_JH584298_random                                                    ||
||    chrUn_GL456366                                                          ||
||    chrUn_GL456367                                                          ||
||    chrUn_GL456368                                                          ||
||    chrUn_GL456370                                                          ||
||    chrUn_GL456372                                                          ||
||    chrUn_GL456378                                                          ||
||    chrUn_GL456379                                                          ||
||    chrUn_GL456381                                                          ||
||    chrUn_GL456382                                                          ||
||    chrUn_GL456383                                                          ||
